"publication","year","pub.count","city","state","country","geocode.value","lon","lat","geoAddress","count","relative.percentage"
"Bob Damron's Address Book",1970,87,"Colorado Springs","CO","United States","Colorado Springs, CO, United States",-104.8213634,38.8338816,"colorado springs, co, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Columbus","OH","United States","Columbus, OH, United States",-82.9987942,39.9611755,"columbus, oh, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Covington","KY","United States","Covington, KY, United States",-84.5085536,39.0836712,"covington, ky, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Dallas","TX","United States","Dallas, TX, United States",-96.7969879,32.7766642,"dallas, tx, usa",2,2.29885057471264
"Bob Damron's Address Book",1970,87,"Daytona Beach","FL","United States","Daytona Beach, FL, United States",-81.0228331,29.2108147,"daytona beach, fl, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Denver","CO","United States","Denver, CO, United States",-104.990251,39.7392358,"denver, co, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Detroit","MI","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa",3,3.44827586206897
"Bob Damron's Address Book",1970,87,"El Segundo","CA","United States","El Segundo, CA, United States",-118.4164652,33.9191799,"el segundo, ca 90245, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Flint","MI","United States","Flint, MI, United States",-83.6874562,43.0125274,"flint, mi, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Fresno","CA","United States","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Ft. Worth","TX","United States","Ft. Worth, TX, United States",-97.3307658,32.7554883,"fort worth, tx, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Gardena","CA","United States","Gardena, CA, United States",-118.3089624,33.8883487,"gardena, ca, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Hallandale","FL","United States","Hallandale, FL, United States",-80.148379,25.9812024,"hallandale beach, fl 33009, usa",2,2.29885057471264
"Bob Damron's Address Book",1970,87,"Houston","TX","United States","Houston, TX, United States",-95.3698028,29.7604267,"houston, tx, usa",2,2.29885057471264
"Bob Damron's Address Book",1970,87,"Indianapolis","IN","United States","Indianapolis, IN, United States",-86.158068,39.768403,"indianapolis, in, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Inglewood","CA","United States","Inglewood, CA, United States",-118.3531311,33.9616801,"inglewood, ca, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Kansas City","MO","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa",2,2.29885057471264
"Bob Damron's Address Book",1970,87,"Los Angeles","CA","United States","Los Angeles, CA, United States",-118.2436849,34.0522342,"los angeles, ca, usa",12,13.7931034482759
"Bob Damron's Address Book",1970,87,"Lynn","MA","United States","Lynn, MA, United States",-70.9494938,42.466763,"lynn, ma, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Memphis","TN","United States","Memphis, TN, United States",-90.0489801,35.1495343,"memphis, tn, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Milwaukee","WI","United States","Milwaukee, WI, United States",-87.9064736,43.0389025,"milwaukee, wi, usa",2,2.29885057471264
"Bob Damron's Address Book",1970,87,"Minneapolis","MN","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"New Orleans","LA","United States","New Orleans, LA, United States",-90.0715323,29.9510658,"new orleans, la, usa",2,2.29885057471264
"Bob Damron's Address Book",1970,87,"New York City","NY","United States","New York City, NY, United States",-74.0059728,40.7127753,"new york, ny, usa",6,6.89655172413793
"Bob Damron's Address Book",1970,87,"Oakland","CA","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Oklahoma City","OK","United States","Oklahoma City, OK, United States",-97.5164276,35.4675602,"oklahoma city, ok, usa",2,2.29885057471264
"Bob Damron's Address Book",1970,87,"Phoenix","AZ","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Portland","OR","United States","Portland, OR, United States",-122.6783853,45.515232,"portland, or, usa",1,1.14942528735632
