City,State,Country,Primary Entity,Other Entities,Entity Type,"Contents/Notes (keywords, event, important names)",Content Type,Publication,Vol #,Issue #,Month,Year,ID,concat_key,Longitude,Latitude
Lakewood,OH,United States,Another State of Mind,,Bookstore,Gay/lesbian book and gifts store,Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Lakewood_OH_United States,-81.798191,41.4819932
Philadelphia,PA,United States,Giovanni's Room,,Bookstore,"Lesbian, feminist and gay books etc, also foreign language.",Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Philadelphia_PA_United States,-75.163526,39.9527237
Huntington Station,NY,United States,Womankind Books,,Bookstore,"Free lesbian mail order catalog for over 300 books, records and videos.",Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Huntington Station_NY_United States,-73.411509,40.8534318
Columbus,OH,United States,Fan The Flames Feminist Bookstore,,Bookstore,"Ohio's oldest women's bookstore, free catalog, mail orders.",Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Columbus_OH_United States,-83.000707,39.9622601
New Orleans,LA,United States,The Mystic Moon,,Bookstore,Bits & Pieces; New Orleans's first lesbian owned feminist bookstore,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,New Orleans_LA_United States,-90.078213,29.9759983
Columbus,OH,United States,Fan the Flames Feminist Bookstore,,Bookstore,Bits & Pieces; large selection of women's books and music.,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Columbus_OH_United States,-83.000707,39.9622601
Portland,OR,United States,A Womon's Place Bookstore,,Bookstore,Bits & Pieces;,Directory,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Portland_OR_United States,-122.67419,45.5202471
Lakewood,OH,United States,Another State of Mind,,Bookstore,A Gay/Lesbian book/gift store.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Lakewood_OH_United States,-81.798191,41.4819932
New Orleans,LA,United States,The Mystic Moon,,Bookstore,Feminist bookstore.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,New Orleans_LA_United States,-90.078213,29.9759983
Houston,TX,United States,Inklings,Annise Parker and Pokey Anderson (owners),Bookstore,"New bookstore, lesbian, feminist, gay books, magazines, music, etc. Sections on: recovery, Third World and Native Americans, kids.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Houston_TX_United States,-95.367697,29.7589382
Jacksonville,FL,United States,Shades of Lavender,,Bookstore,Lesbian/gay bookstore.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Jacksonville_FL_United States,-81.655651,30.3321838
Huntington Station,NY,United States,Womankind Books,,Bookstore,"Free lesbian mail order catalog for books, records, videos, mailed discreetly.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Huntington Station_NY_United States,-73.411509,40.8534318
Columbus,OH,United States,Fan the Flames Feminist Bookstore,,Bookstore,"Mail order, free catalog from ohio's oldest women's bookstore.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Columbus_OH_United States,-83.000707,39.9622601
Bloomington,IL,United States,Aquarius Books and Bookmobile,,Bookstore,Free feminist lesbian catalog.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Bloomington_IL_United States,-88.993915,40.4797828
Northampton,MA,United States,LUNARIA,,Bookstore,"New, used, and rare feminist books and music, out of print searches, mail service.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Northampton_MA_United States,-72.631101,42.3178989
Coulterville,CA,United States,Blue Heron Connections,,Bookstore,women's books by mail.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Coulterville_CA_United States,-120.19797,37.710486
Chicago,IL,United States,Women & Children First,,Bookstore,"Lesbian, feminist and children's books and records",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=3,Chicago_IL_United States,-87.624421,41.8755616
Ithaca,NY,United States,Firebrand Books,,Bookstore,Living as a lesbian; nothing lukewarm; strong poetry,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=4,Ithaca_NY_United States,-76.548315,42.437072
Philadelphia,PA,United States,Giovanni's Room,,Bookstore,"Lesbian, Feminist, and gay books, periodicals, records, etc.",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=4,Philadelphia_PA_United States,-75.163526,39.9527237
Phoenix,AZ,United States,Humanspace Books,,Bookstore,"for feminists, gay men, lesbians, witches, kids, etc.",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=4,Phoenix_AZ_United States,-112.07414,33.4484367
Huntington Station,NY,United States,Womankind Books,,Bookstore,Free lesbian book and record catalog,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=4,Huntington Station_NY_United States,-73.411509,40.8534318
Columbus,OH,United States,Fan The Flames Feminist Bookstore,,Bookstore,Ohio's oldest women's bookstore does mail order,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=4,Columbus_OH_United States,-83.000707,39.9622601
Lawrence,KS,United States,Spinsters Books & Webbery,,Bookstore,Womyn's Spirituality and Lesbian-Feminist Mail Order Catalog,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=4,Lawrence_KS_United States,-95.23595,38.9719384
Ithaca,NY,United States,Firebrand Books,,Bookstore,Advertising book of cartoons by Alison Bechdel,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=4,Ithaca_NY_United States,-76.548315,42.437072
Oakland,CA,United States,Diaspora Distribution,,Bookstore,ADvertisement for lesbian fiction and erotica by Jess Wells,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=5,Oakland_CA_United States,-122.27136,37.8044557
Little River,CA,United States,Tough Dove Books,,Bookstore,"Tarot Cards, Lesbian fiction, stories of women, 'free to women in prison'",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=13,Little River_CA_United States,-123.78835,39.2707318
Minneapolis,MN,United States,Amazon Bookstore,,Bookstore,FEminist books periodicals records jewelry crafts by women,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=16,Minneapolis_MN_United States,-93.265469,44.9772995
Englewood,NJ,United States,Pandora Book Peddlers,,Bookstore,"Advertising ""Y.O.U.R. [Your OPportunity for Unequaled Reading] Feminist Book Club",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=18,Englewood_NJ_United States,-73.972638,40.8928771
Indianapolis,IN,United States,Dreams and Swords,,Bookstore,Second store opened; Indiana's largest selection of lesbian adn feminist books,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=22,Indianapolis_IN_United States,-86.15835,39.7683331
Portland,OR,United States,A Woman's Place,,Bookstore,Feminist bookstore,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=24,Portland_OR_United States,-122.67419,45.5202471
Philadelphia,PA,United States,Giovanni's Room,,Bookstore,"Lesbian and feminist book sampler; example books of fiction; ""When youc all have yoru MasterCard or Visa card handy.""; two-page spread",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=26,Philadelphia_PA_United States,-75.163526,39.9527237
San Francisco,CA,United States,Old Wives Tales,,Bookstore,"""Write for our catalog; we mail books anywhere""",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=28,San Francisco_CA_United States,-122.41991,37.7790262
Oakland,CA,United States,Mama Bears,,Bookstore,Bookstore and coffeehouse,Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=29,Oakland_CA_United States,-122.27136,37.8044557
Vancouver,BC,Canada,Little Sister's Book and Art Emporium,,Bookstore,Vancouver's only exclusively lesbian and gay bookstore was bombed in a homophobic attack.,Article,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Vancouver_BC_Canada,-123.11395,49.2608724
Eureka,CA,United States,Lizard Louise Books,,Bookstore,Bits & Pieces; Reopening as a book-ordering service.,Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Eureka_CA_United States,-124.16737,40.7906871
Baltimore,MD,United States,31st St Bookstore,,Bookstore,"Bits & Pieces; Womin gathered together to purchase the bookstore, a feminist lesbian bookstore, now a co-op owned by 500 womin.",Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Baltimore_MD_United States,-76.610759,39.2908816
Philadelphia,PA,United States,Giovanni's Room,,Bookstore,"Lesbian, feminist and gay books periodicals, records.",Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Philadelphia_PA_United States,-75.163526,39.9527237
Lakewood,OH,United States,Another State of Mind,,Bookstore,,Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Lakewood_OH_United States,-81.798191,41.4819932
Hempstead,NY,United States,Alternatives Corner Bookstore,,Bookstore,,Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Hempstead_NY_United States,-73.619074,40.6736812
Phoenix,AZ,United States,"Humanspace Books, Inc",,Bookstore,"Lesbian, feminist, gay, new age, children's books.",Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Phoenix_AZ_United States,-112.07414,33.4484367
Columbus,OH,United States,Fan the Flames Feminist Bookstore,,Bookstore,,Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Columbus_OH_United States,-83.000707,39.9622601
Huntington Station,NY,United States,Womankind Books,,Bookstore,,Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Huntington Station_NY_United States,-73.411509,40.8534318
Tempe,AZ,United States,Womansplace,,Bookstore,"Phoenix area's only feminist bookstore; ""I will happily send books to isolated lesbians""",Advertisement,Lesbian Connection,1,6,July,1975,https://www.jstor.org/stable/community.28039161?seq=24,Tempe_AZ_United States,-111.94001,33.4255056
East Lansing,MI,United States,Womanself,,Bookstore,feminist bookstore and women's craftshop,Advertisement,Lesbian Connection,1,6,July,1975,https://www.jstor.org/stable/community.28039161?seq=24,East Lansing_MI_United States,-84.472168,42.7320307
Huntington Station,NY,United States,Womankind Books,,Bookstore,mail order book catalog,Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=10,Huntington Station_NY_United States,-73.411509,40.8534318
Redwood Valley,CA,United States,Earth Books,,Bookstore,"Meditation, book and audiocassette",Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=13,Redwood Valley_CA_United States,-123.20445,39.2654449
Northampton,MA,United States,Lumaria Bookstore,,Bookstore,"Feminist bookstore, music, periodicals,",Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=15,Northampton_MA_United States,-72.631101,42.3178989
Albuquerque,NM,United States,Full Circle Books,Feminist Bookstore Network,Bookstore,Local Women's bookstore,Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=16,Albuquerque_NM_United States,-106.65099,35.0841034
Washington,DC,United States,Lammas Bookstore,Feminist Bookstore Network,Bookstore,Local Women's bookstore,Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=16,Washington_DC_United States,-77.036543,38.8950368
Madison,WI,United States,A Room of One's Own,Feminist Bookstore Network,Bookstore,Local Women's bookstore,Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=16,Madison_WI_United States,-89.383761,43.074761
New York,NY,United States,Judith's Room,Feminist Bookstore Network,Bookstore,Local Women's bookstore,Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=16,New York_NY_United States,-74.006015,40.7127281
Cambridge,MA,United States,New Words Bookstore,Feminist Bookstore Network,Bookstore,Local Women's bookstore,Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=16,Cambridge_MA_United States,-71.105616,42.3750997
Minneapolis,MN,United States,Amazon Bookstore,Feminist Bookstore Network,Bookstore,Local Women's bookstore,Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=16,Minneapolis_MN_United States,-93.265469,44.9772995
Albuquerque,NM,United States,Sonia Johnson,,Bookstore,"Books and tapes ""feminist anarchy""",Advertisement,Lesbian Connection,12,3,November,1989,https://www.jstor.org/stable/community.28039235?seq=16,Albuquerque_NM_United States,-106.65099,35.0841034
