"publication","year","pub.count","geocode.value","lon","lat","count"
"Bob Damron's Address Book",1981,4690,"Ft. Wayne, IN, United States",-85.1393513,41.079273,7
"Bob Damron's Address Book",1981,4690,"Ft. Worth, TX, United States",-97.3307658,32.7554883,15
"Bob Damron's Address Book",1981,4690,"Fullerton, CA, United States",-117.9242123,33.8703645,1
"Bob Damron's Address Book",1981,4690,"Gainesville, FL, United States",-82.324998,29.6519563,7
"Bob Damron's Address Book",1981,4690,"Galveston, TX, United States",-94.7976958,29.3013479,8
"Bob Damron's Address Book",1981,4690,"Garden Grove, CA, United States",-117.9379952,33.7742692,9
"Bob Damron's Address Book",1981,4690,"Gardena, CA, United States",-118.3089624,33.8883487,2
"Bob Damron's Address Book",1981,4690,"Garrison, NY, United States",-73.9404737,41.3804881,1
"Bob Damron's Address Book",1981,4690,"Gary, IN, United States",-87.3371523,41.6020403,1
"Bob Damron's Address Book",1981,4690,"Gastonia, NC, United States",-81.1870849,35.2621735,1
"Bob Damron's Address Book",1981,4690,"Glen Rose, TX, United States",-97.7554986,32.2346721,1
"Bob Damron's Address Book",1981,4690,"Glendale, AZ, United States",-112.1859866,33.5386523,1
"Bob Damron's Address Book",1981,4690,"Goldsboro, NC, United States",-77.9927651,35.3848841,1
"Bob Damron's Address Book",1981,4690,"Grand Forks, ND, United States",-97.0328547,47.9252568,2
"Bob Damron's Address Book",1981,4690,"Grand Island, NE, United States",-98.3420118,40.9263957,4
"Bob Damron's Address Book",1981,4690,"Grand Junction, CO, United States",-108.5506486,39.0638705,2
"Bob Damron's Address Book",1981,4690,"Grand Rapids, MI, United States",-85.6680863,42.9633599,7
"Bob Damron's Address Book",1981,4690,"Grand haven, MI, United States",-86.2283864,43.0630734,1
"Bob Damron's Address Book",1981,4690,"Grants Pass, OR, United States",-123.3283925,42.4390069,1
"Bob Damron's Address Book",1981,4690,"Great Bend, KS, United States",-98.7648073,38.3644567,1
"Bob Damron's Address Book",1981,4690,"Great Falls, MT, United States",-111.3007715,47.5052849,6
"Bob Damron's Address Book",1981,4690,"Greeley, CO, United States",-104.7091322,40.4233142,2
"Bob Damron's Address Book",1981,4690,"Green Bay, WI, United States",-88.0132958,44.5133188,6
"Bob Damron's Address Book",1981,4690,"Greenburg, PA, United States",-79.5389289,40.3014581,3
"Bob Damron's Address Book",1981,4690,"Greencastle, PA, United States",-77.7277714,39.790371,1
"Bob Damron's Address Book",1981,4690,"Greensboro, NC, United States",-79.7919754,36.0726354,8
"Bob Damron's Address Book",1981,4690,"Greenville, NC, United States",-77.3663538,35.612661,1
"Bob Damron's Address Book",1981,4690,"Greenville, SC, United States",-82.3940104,34.8526176,7
"Bob Damron's Address Book",1981,4690,"Greenwich, CT, United States",-73.6281964,41.0262417,1
"Bob Damron's Address Book",1981,4690,"Guerneville, CA, United States",-122.9961102,38.5018575,6
"Bob Damron's Address Book",1981,4690,"Gulfport, MS, United States",-89.0928155,30.3674198,1
"Bob Damron's Address Book",1981,4690,"Guttenberg, NJ, United States",-74.0037505,40.7920454,1
"Bob Damron's Address Book",1981,4690,"Hagerstown, MD, United States",-77.7199932,39.6417629,2
"Bob Damron's Address Book",1981,4690,"Hallandale, FL, United States",-80.148379,25.9812024,2
"Bob Damron's Address Book",1981,4690,"Hamilton, KS, United States",-96.1641647,37.9794705,1
"Bob Damron's Address Book",1981,4690,"Hammond, IN, United States",-87.5000412,41.5833688,1
"Bob Damron's Address Book",1981,4690,"Hampton, NH, United States",-70.8389219,42.9375932,1
"Bob Damron's Address Book",1981,4690,"Hampton, VA, United States",-76.3452218,37.0298687,1
"Bob Damron's Address Book",1981,4690,"Hanover, NH, United States",-72.2895526,43.7022451,2
"Bob Damron's Address Book",1981,4690,"Harrisburg, PA, United States",-76.8867008,40.2731911,10
"Bob Damron's Address Book",1981,4690,"Hartford, CT, United States",-72.6733723,41.7658043,13
"Bob Damron's Address Book",1981,4690,"Hattiesburg, MS, United States",-89.2903392,31.3271189,2
"Bob Damron's Address Book",1981,4690,"Hawthorne, CA, United States",-118.3525748,33.9164032,1
"Bob Damron's Address Book",1981,4690,"Hayward, CA, United States",-122.0809964,37.6687665,6
"Bob Damron's Address Book",1981,4690,"Hegins, PA, United States",-76.4977208,40.6515135,1
"Bob Damron's Address Book",1981,4690,"Helena, MT, United States",-112.0391057,46.5891452,2
"Bob Damron's Address Book",1981,4690,"Hemet, CA, United States",-116.9719684,33.7475203,1
"Bob Damron's Address Book",1981,4690,"Hempstead, NY, United States",NA,NA,1
"Bob Damron's Address Book",1981,4690,"Hialeah, FL, United States",-80.2781057,25.8575963,2
"Bob Damron's Address Book",1981,4690,"Hickory, NC, United States",-81.3444573,35.7344538,1
"Bob Damron's Address Book",1981,4690,"High Point, NC, United States",-80.0053176,35.9556923,1
"Bob Damron's Address Book",1981,4690,"Highland, NY, United States",-73.9601382,41.7209267,1
"Bob Damron's Address Book",1981,4690,"Hillsborough, CA, United States",-122.3794163,37.5741032,1
"Bob Damron's Address Book",1981,4690,"Hilo, HI, United States",-155.084887,19.7216023,3
"Bob Damron's Address Book",1981,4690,"Hilton Head, GA, United States",NA,NA,1
"Bob Damron's Address Book",1981,4690,"Holland, MI, United States",-86.1089301,42.7875235,1
"Bob Damron's Address Book",1981,4690,"Hollywood, FL, United States",-80.1494901,26.0112014,6
"Bob Damron's Address Book",1981,4690,"Holyoke, MA, United States",-72.6162009,42.2042586,2
"Bob Damron's Address Book",1981,4690,"Honolulu, HI, United States",-157.8581401,21.3098845,4
"Bob Damron's Address Book",1981,4690,"Hot Springs, AR, United States",-93.0546003,34.5077615,4
"Bob Damron's Address Book",1981,4690,"Houma, LA, United States",-90.7195348,29.5957696,2
"Bob Damron's Address Book",1981,4690,"Houston, TX, United States",-95.3698028,29.7604267,74
"Bob Damron's Address Book",1981,4690,"Huntington Park, CA, United States",-118.2250725,33.9816812,2
"Bob Damron's Address Book",1981,4690,"Huntington, WV, United States",-82.445154,38.4192496,3
"Bob Damron's Address Book",1981,4690,"Huntsville, AL, United States",-86.5861037,34.7303688,5
"Bob Damron's Address Book",1981,4690,"Idaho Falls, ID, United States",-112.0407506,43.4926602,4
"Bob Damron's Address Book",1981,4690,"Indiana, PA, United States",-79.1525349,40.6214551,2
"Bob Damron's Address Book",1981,4690,"Indianapolis, IN, United States",-86.158018,39.76909,18
"Bob Damron's Address Book",1981,4690,"Indio, CA, United States",-116.2155619,33.7205771,1
"Bob Damron's Address Book",1981,4690,"Inglewood, CA, United States",-118.3531311,33.9616801,2
"Bob Damron's Address Book",1981,4690,"Iowa City, IA, United States",-91.5346169,41.6578257,2
"Bob Damron's Address Book",1981,4690,"Ithaca, NY, United States",-76.5018807,42.4439614,4
"Bob Damron's Address Book",1981,4690,"Jackson, MI, United States",-84.4013462,42.245869,1
