"publication","year","pub.count","geocode.value","lon","lat","count","relative.percentage"
"Bob Damron's Address Book",1975,2341,"Hawthorne, CA, United States",-118.3525748,33.9164032,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Hayward, CA, United States",-122.0809964,37.6687665,5,0.213583938487826
"Bob Damron's Address Book",1975,2341,"Hazleton, PA, United States",-75.9746472,40.9584181,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Helena, MT, United States",-112.0391057,46.5891452,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Hempstead, NY, United States",NA,NA,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Hialeah, FL, United States",-80.2781057,25.8575963,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"High Point, NC, United States",-80.0053176,35.9556923,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Hilo, HI, United States",-155.084887,19.7216023,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Holland, MI, United States",-86.1089301,42.7875235,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Hollywood, FL, United States",-80.1494901,26.0112014,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Honolulu, HI, United States",-157.8581401,21.3098845,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Hot Springs, AR, United States",-93.0546003,34.5077615,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Houston, TX, United States",-95.3698028,29.7604267,39,1.66595472020504
"Bob Damron's Address Book",1975,2341,"Huntington Park, CA, United States",-118.2250725,33.9816812,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Huntington, WV, United States",-82.445154,38.4192496,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Huntsville, AL, United States",-86.5861037,34.7303688,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Idaho Falls, ID, United States",-112.0407506,43.4926602,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Indianapolis, IN, United States",-86.158018,39.76909,16,0.683468603161042
"Bob Damron's Address Book",1975,2341,"Inglewood, CA, United States",-118.3531311,33.9616801,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Iowa City, IA, United States",-91.5346169,41.6578257,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Ithaca, NY, United States",-76.5018807,42.4439614,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Jackson, MS, United States",-90.1848103,32.2987573,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Jackson, TN, United States",-88.8139469,35.6145169,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Jackson, WY, United States",-110.7624282,43.4799291,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Jacksonville, FL, United States",-81.655651,30.3321838,11,0.469884664673217
"Bob Damron's Address Book",1975,2341,"Jamestown, NY, United States",-79.2353259,42.0970023,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Jefferson City, MO, United States",NA,NA,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Jersey City, NJ, United States",-74.0431435,40.7177545,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Johnson City, TN, United States",-82.3534727,36.3134397,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Johnstown, PA, United States",-78.9219698,40.3267407,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Joplin, MO, United States",-94.513281,37.0842271,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Juneau, AK, United States",-134.4201306,58.3004933,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Kansas City, KS, United States",-94.6267873,39.1155314,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Kansas City, MO, United States",-94.5785667,39.0997265,12,0.512601452370782
"Bob Damron's Address Book",1975,2341,"Kapaa-Wailua, Kauai, HI, United States",NA,NA,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Kenosha, WI, United States",-87.8211854,42.5847425,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Kent, OH, United States",-81.3578859,41.1536674,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Key West, FL, United States",-81.7799871,24.5550593,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Killeen, TX, United States",-97.7277959,31.1171194,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Kingston, NJ, United States",-74.6134903,40.3753844,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Knoxville, TN, United States",-83.9207392,35.9606384,5,0.213583938487826
"Bob Damron's Address Book",1975,2341,"Kona, HI, United States",NA,NA,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lafayette, LA, United States",-92.0198427,30.2240897,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Laguna Beach, CA, United States",-117.7853568,33.5427189,6,0.256300726185391
"Bob Damron's Address Book",1975,2341,"Lahaina, Maui, HI, United States",-156.6816195,20.882371,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lake Alfred, FL, United States",-81.7234114,28.091963,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lake Charles, LA, United States",-93.2173758,30.2265949,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lake Placid, NY, United States",-73.9798713,44.2794911,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lake Worth, FL, United States",-80.0684479,26.6167555,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lambertville, NJ, United States",-74.9429448,40.3659394,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Lancaster, PA, United States",-76.3055144,40.0378755,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lansing, MI, United States",-84.5555347,42.732535,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Laredo, TX, United States",-99.5075519,27.5035613,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Las Vegas, NV, United States",-115.1391009,36.171563,7,0.299017513882956
"Bob Damron's Address Book",1975,2341,"Lawrence, KS, United States",-95.2352501,38.9716689,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lebanon, NH, United States",-72.2517569,43.6422934,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lewiston, ID, United States",-117.0011889,46.4004089,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lewiston, ME, United States",-70.2147764,44.100351,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lexington, KY, United States",-84.5037164,38.0405837,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Lincoln, NE, United States",-96.7025764,40.8136634,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Lindenhurst, NY, United States",-73.3734547,40.6867667,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Little Neck, NY, United States",NA,NA,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Long Beach, CA, United States",-118.1937395,33.7700504,17,0.726185390858607
"Bob Damron's Address Book",1975,2341,"Los Angeles, CA, United States",-118.242643,34.0549076,155,6.6211020931226
"Bob Damron's Address Book",1975,2341,"Louisville, KY, United States",-85.7584557,38.2526647,8,0.341734301580521
"Bob Damron's Address Book",1975,2341,"Lowell, MA, United States",-71.3161718,42.6334247,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lubbock, TX, United States",-101.8552934,33.5778239,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lynn, MA, United States",-70.9494938,42.466763,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Lynwood, CA, United States",-118.2114603,33.930293,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Macon, GA, United States",-83.6324022,32.8406946,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Madison, WI, United States",-89.4007501,43.0721661,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Manchester, NH, United States",-71.4547891,42.9956397,5,0.213583938487826
"Bob Damron's Address Book",1975,2341,"Marcus Hook, PA, United States",-75.4185272,39.8192794,1,0.0427167876975651
