"publication","geocode.value","count","relative.percentage","location_rank"
"Bob Damron's Address Book","Cottondale, FL",1,0.00227728183640007,160
"Bob Damron's Address Book","Council Bluffs, IA",23,0.0523774822372017,138
"Bob Damron's Address Book","Covina, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Covington, KY",24,0.0546547640736018,137
"Bob Damron's Address Book","Cranston, RI",1,0.00227728183640007,160
"Bob Damron's Address Book","Crescent City, FL",1,0.00227728183640007,160
"Bob Damron's Address Book","Cresson, PA",4,0.00910912734560029,157
"Bob Damron's Address Book","Crest, MS",1,0.00227728183640007,160
"Bob Damron's Address Book","Crestview, FL",2,0.00455456367280015,159
"Bob Damron's Address Book","Crestwood, IL",6,0.0136636910184004,155
"Bob Damron's Address Book","Crofton Falls, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Croton Falls, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Crown Point, IN",3,0.00683184550920022,158
"Bob Damron's Address Book","Cuidad Juarez, Mexico, TX",5,0.0113864091820004,156
"Bob Damron's Address Book","Culver City, CA",5,0.0113864091820004,156
"Bob Damron's Address Book","Cumberland, MD",11,0.0250501002004008,150
"Bob Damron's Address Book","Cupertino, CA",15,0.0341592275460011,146
"Bob Damron's Address Book","Cuttyhunk Island, MA",1,0.00227728183640007,160
"Bob Damron's Address Book","Dalhart, TX",6,0.0136636910184004,155
"Bob Damron's Address Book","Dallas, TX",482,1.09764984514484,14
"Bob Damron's Address Book","Dana Point, CA",5,0.0113864091820004,156
"Bob Damron's Address Book","Danbury, CT",5,0.0113864091820004,156
"Bob Damron's Address Book","Dandridge, TN",4,0.00910912734560029,157
"Bob Damron's Address Book","Dania, FL",3,0.00683184550920022,158
"Bob Damron's Address Book","Danville, IL",11,0.0250501002004008,150
"Bob Damron's Address Book","Danville, PA",2,0.00455456367280015,159
"Bob Damron's Address Book","Danville, VA",17,0.0387137912188012,144
"Bob Damron's Address Book","Darien, CT",1,0.00227728183640007,160
"Bob Damron's Address Book","Davenport, IA",40,0.0910912734560029,121
"Bob Damron's Address Book","Davis, CA",15,0.0341592275460011,146
"Bob Damron's Address Book","Dayton, OH",108,0.245946438331208,69
"Bob Damron's Address Book","Daytona Beach, FL",74,0.168518855893605,89
"Bob Damron's Address Book","Decanso, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Decatur, AL",35,0.0797048642740026,126
"Bob Damron's Address Book","Decatur, IL",17,0.0387137912188012,144
"Bob Damron's Address Book","Deep Park, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Deer Park, L.I., NY",3,0.00683184550920022,158
"Bob Damron's Address Book","Deer Park, NY",5,0.0113864091820004,156
"Bob Damron's Address Book","Deland, FL",3,0.00683184550920022,158
"Bob Damron's Address Book","Deming, NM",2,0.00455456367280015,159
"Bob Damron's Address Book","Dennis, MA",4,0.00910912734560029,157
"Bob Damron's Address Book","Denton, TX",13,0.0296046638732009,148
"Bob Damron's Address Book","Denver, CO",440,1.00200400801603,17
"Bob Damron's Address Book","Denville, NJ",3,0.00683184550920022,158
"Bob Damron's Address Book","Deptford, NJ",1,0.00227728183640007,160
"Bob Damron's Address Book","Des Moines, IA",119,0.270996538531609,64
"Bob Damron's Address Book","Des Plaines, IL",3,0.00683184550920022,158
"Bob Damron's Address Book","Des Plains, IL",2,0.00455456367280015,159
"Bob Damron's Address Book","Descanso, CA",5,0.0113864091820004,156
