"geocode.value","lat","lon","damron_percent","gaia_percent","damron_ratio","gaia_ratio","ratio","log_ratio"
"Covington, KY",39.0836712,-84.5085536,0.0342205323193916,0.0816872122382296,0.418921534739025,2.38708186873938,0.418921534739025,-0.870071644522782
"Chapel Hill, NC",35.9131996,-79.0558445,0.0456273764258555,0.111391653052131,0.409612167300381,2.44133372939254,0.409612167300381,-0.892544500374837
"Racine, WI",42.7261309,-87.7828523,0.0456273764258555,0.111391653052131,0.409612167300381,2.44133372939254,0.409612167300381,-0.892544500374837
"Charlestown, WV",39.2889903,-77.8597175,0.0342205323193916,0.089113322441705,0.384011406844106,2.60408931135205,0.384011406844106,-0.957083021512411
"San Rafael, CA",37.9735346,-122.5310874,0.064638783269962,0.170800534679935,0.37844602413622,2.64238474240135,0.37844602413622,-0.971681820933565
"Fayetteville, AR",36.0626579,-94.1605839,0.0532319391634981,0.141096093866033,0.377274364618771,2.65059090619762,0.377274364618771,-0.974782598611812
"Gainesville, FL",29.6519563,-82.324998,0.106463878326996,0.297044408139017,0.358410646387832,2.79009569073434,0.358410646387832,-1.02607589299936
"Santa Cruz, CA",36.9741171,-122.0307963,0.0950570342205323,0.267339967325115,0.355566117448247,2.81241645626021,0.355566117448247,-1.03404406264854
"Tallahassee, FL",30.4381828,-84.2806235,0.064638783269962,0.185652755086885,0.348170342205324,2.8721573286971,0.348170342205324,-1.05506342987261
"East St. Louis, IL",38.624514,-90.1506465,0.0304182509505703,0.089113322441705,0.341343472750317,2.92960047527106,0.341343472750317,-1.0748660571688
"Ann Arbor, MI",42.2808256,-83.7430378,0.0950570342205323,0.282192187732066,0.33685211126676,2.96866181494133,0.33685211126676,-1.08811128391882
"New Brunswick, NJ",40.4862157,-74.4518188,0.0418250950570342,0.126243873459082,0.331303958845896,3.01837624724896,0.331303958845896,-1.10471902031847
"Boulder, CO",40.0149856,-105.2705456,0.0532319391634981,0.170800534679935,0.311661431641593,3.20861004434449,0.311661431641593,-1.16583783537452
"Santa Rosa, CA",38.440429,-122.7140548,0.0608365019011407,0.200504975493836,0.303416420222504,3.29580053467993,0.303416420222504,-1.19264909282518
"Morgantown, WV",39.629526,-79.9558968,0.0304182509505703,0.103965542848656,0.292580119500271,3.41786722114957,0.292580119500271,-1.22901673699606
"Madison, WI",43.0721661,-89.4007501,0.201520912547529,0.69805435912669,0.288689426421811,3.46393012170413,0.288689426421811,-1.24240381777851
"Portland, ME",43.6590993,-70.2568189,0.136882129277567,0.475271053022427,0.288008555133081,3.47211908180272,0.288008555133081,-1.24476509396419
"Burlington, VT",44.4758825,-73.212072,0.0722433460076046,0.252487746918164,0.286126146276001,3.49496197049879,0.286126146276001,-1.25132249451035
"Fort Collins, CO",40.5852602,-105.084423,0.0228136882129278,0.0816872122382296,0.279281023159351,3.58062280310906,0.279281023159351,-1.27553675263094
"Kalamazoo, MI",42.2917069,-85.5872286,0.0456273764258555,0.185652755086885,0.245767300380229,4.06888954898756,0.245767300380229,-1.40337012414083
"Lawrence, KS",38.9716689,-95.2352501,0.0304182509505703,0.126243873459082,0.240948333706106,4.15026733996733,0.240948333706106,-1.42317275143701
"Iowa City, IA",41.6578257,-91.5346169,0.0570342205323194,0.245061636714689,0.232734185966125,4.29674736373088,0.232734185966125,-1.4578583094249
