"type","count"
"Gay / Lesbian Bookstore",18
"Gay / Lesbian Center",12
"Gay / Lesbian Group",12
"Gay / Lesbian Library",1
"Gay / Lesbian Organization",1
"Gay / Lesbian Political Group",1
"Gay Beach",3
"Gay Bookstore",2
"Gay Boutique",1
"Gay Center",8
"Gay Centre",3
"Gay Coffeehouse",1
"Gay Complex",5
"Gay Complex / Resort",3
"Gay Complex/Resort",3
"Gay Gift Shop",1
"Gay Group",5
"Gay Helpline",1
"Gay Hotline",9
"Gay Information Line",1
"Gay News & Events",1
"Gay Oasis",1
"Gay Relationship Club",1
"Gay Resort",1
"Gay Shop",1
"Gay Switchboard",2
"Gay/Alternative Bookstore",6
"Gay/Bookstore",1
"Gay/Lesbian Bookstore",22
"Gay/Lesbian Bookstore and Cafe",1
"Gay/Lesbian Bookstores",2
"Gay/Lesbian Center",9
"Gay/Lesbian Group",20
"Gay/Lesbian Organzation",1
"Gay/Lesbian Political Group",1
"Gay/Lesbian Restaurant",3
"Gay/Lesbian/Feminist Bookstore",2
"General Bookstore",8
"General Bookstores",2
"General and Alternative Bookstore",5
"General and Alternative Bookstores",2
"Gift Store",5
"Goddess Crafts",2
"Graphic Consultant",2
"Graphic Design",3
"Group",227
"Group ",20
"Groups",159
"Groups & Organizations",12
"Groups - Special Interest Groups",4
"Groups / Organizations",5
"Groups / Organizations and Services",3
"Groups and Organizations",5
"Groups/-- Special Interest Groups",2
"Groups/Organizations",7
"Groups/Organizations and Services",4
"Guest House",40
"Guest House Referral Agency",2
"Guest Houses",24
"Guest Houses / Bed and Breakfast",13
"Guest Ranch",1
"Guide Book",3
"Gym",202
"Gym,Bathhouses",3
"Gym,Cruising Areas",1
"Gym,Hotel",2
"Gym,Restaurant",1
"Gym/Health Club",13
"Gym/Health Clubs",89
"Gyms & Health Clubs",481
"Gyms/Health Clubs",267
"Hairdressers",4
"Hairdressing",2
"Hairstyling",1
"Headshop",1
"Healing Center",2
"Health - Centers / Clinics / Counselling / Practitioners",2
"Health / Clinics / Counseling",4
"Health Care",2
"Health Center",64
"Health Center / Clinic / Counseling",1
"Health Center/Clinic/Counseling",12
"Health Center/Clinic/Counselling",9
"Health Centers / Clinics / Counseling / Practitioners",7
"Health Centers / Counseling and Therapy, etc.",2
"Health Centers / Services / Medical Practitioner and Counselors / Therapists",1
"Health Centers and Counseling",5
"Health Centers/Clinics/Counselling",7
"Health Centers/Counseling and Therapy, etc.",4
"Health Centers/Counseling,etc",2
"Health Clinic",63
"Health Clinic ",3
"Health Collective",1
"Herbal Medicine",1
"Herbal Medicine and Psychic Skills",3
"Herbalist",9
"Holiday Apartments",1
"Hotel",3443
"Hotel / Gay Complex",1
"Hotel,Bars/Clubs",439
"Hotel,Bars/Clubs,Baths",1
"Hotel,Bars/Clubs,Cruising Areas",13
"Hotel,Bars/Clubs,Restaurant",30
"Hotel,Bars/Clubs,Restaurant,Baths",1
"Hotel,Bars/Clubs,Restaurant,Cruising Areas",7
"Hotel,Bathhouses",29
"Hotel,Bathhouses,Cruising Areas",2
"Hotel,Baths",18
"Hotel,Book Store",5
"Hotel,Book Store,Erotic Shop",1
"Hotel,Business",3
"Hotel,Community Center/Support Group",1
