type_clean,n
feminist center and bookstore,1
feminist entertainment center,1
feminist garage,1
feminist health clinic,1
feminist library and newsletter,1
feminist organization and networking center,1
feminist periodical,1
feminist restaurant and bookstore,1
feminist retreat,1
feminist theater group,1
feminist theatre,1
feminist therapists,1
festival,1
"for review,restaurant",1
friendship network,1
funeral director,1
funeral services,1
gay / lesbian / feminist bookstore,1
gay / lesbian library,1
gay / lesbian organization,1
gay / lesbian political group,1
gay boutique,1
gay coffeehouse,1
gay gift shop,1
gay helpline,1
gay information line,1
gay news and events,1
gay oasis,1
gay relationship club,1
gay resort,1
gay shop,1
gay/bookstore,1
gay/lesbian bookstore and cafe,1
gay/lesbian organzation,1
gay/lesbian political group,1
guest ranch,1
"gym,cruising areas",1
"gym,restaurant",1
hairstyling,1
headshop,1
health center / clinic / counseling,1
health centers / services / medical practitioner and counselors / therapists,1
health collective,1
herbal medicine,1
holiday apartments,1
hotel / gay complex,1
"hotel,bars/clubs,baths",1
"hotel,bars/clubs,restaurant,baths",1
"hotel,book store,erotic shop",1
"hotel,community center/support group",1
"hotel,cruising areas,baths",1
"hotel,erotic shop",1
"hotel,gym,bathhouses",1
"hotel,gym,travel service",1
"hotel,religious institution,bars/clubs,restaurant",1
"hotel,restaurant,baths",1
"hotel,restaurant,business",1
"hotel,restaurant,cruising areas,bars/clubs",1
"hotel,restaurant,gym,bathhouses",1
"hotel,restaurant,travel service",1
"hotel,theatre,business",1
"hotel,travel service,bars/clubs",1
"hotel,travel service,restaurant",1
hotel-restaurant-disco,1
hotel/gay complex,1
hotel/resort/disco,1
"hotels,bars/clubs,restaurant",1
"hotels/motels/guest houses/bed and breakfast, etc",1
hotels/motels/guest houses/resorts,1
"hotline,community center/ support group",1
"hotline,organization",1
"hotlines,publication",1
housing project,1
ice cream parlor,1
info services,1
information center,1
insurance agent,1
jeweler,1
jewellery,1
kennels,1
land retreat,1
lawyers,1
lawyers assocation,1
leather sandals,1
legal clinic,1
lesbian / feminist mail order service,1
lesbian / gay center,1
lesbian / gay coffeehouse night,1
lesbian / gay ice cream parlor,1
lesbian / gay library,1
lesbian / gay luxury cabins-resort,1
lesbian / gay social and political group,1
lesbian / gay student organization,1
lesbian accountants,1
lesbian books mail order service,1
lesbian campgrounds,1
lesbian entertainment complex,1
lesbian feminist counseling / therapy,1
lesbian feminist theater group,1
lesbian mothers organization,1
lesbian network,1
lesbian resort,1
lesbian resource center,1
lesbian service organization,1
lesbian social organization,1
lesbian/gay personal ads newsletter,1
lesbian/gay service center,1
library/archives/research facility,1
literary group,1
lodge/disco/restaurant,1
matching service,1
mediation consultant,1
medical care,1
medical practitioners / counselors / therapists,1
medical service,1
"men's clubs,cruising areas",1
mobile feminist bookstore,1
"model agency,escort service",1
motel/apartments,1
motel/bar,1
movie gallery,1
moving and deliveries,1
museum / archives,1
music collective,1
music producers,1
music store,1
natural foods,1
newsstand,1
open lesbian land,1
"organization,book store",1
"organization,business",1
"organization,for review",1
organization/center,1
organizations / groups / services,1
"organizations,business",1
"organizations,restaurant",1
outdoor trips for women,1
overnight accomodation,1
parents group,1
penpal/friendship club,1
performance space,1
personal contacts/travel clubs,1
photographers,1
photography,1
piano tuner,1
piano tuning,1
poetry/music collective,1
politcal group,1
pool hall,1
post cards,1
press,1
printing service,1
private gay resort,1
professional organizations,1
projected resort and residential community for gay people,1
promotional items,1
psychic center,1
psychotherapist,1
publications with national scope,1
"publications,cruising areas",1
publisher/distributor,1
publishers,1
radio,1
radio and tv,1
radio station,1
rap lines,1
rape crisis / domestic violence,1
real estate agency,1
realtors,1
religious center,1
"religious institution,hotlines",1
"religious institution,organization",1
"religious organizations,info lines and services",1
resort / lodging for women,1
resort / motel,1
resort and campground,1
resort/campsite,1
resort/dsico,1
resort/motel,1
resorts / guest houses,1
"restaurant,bars/clubs,business",1
"restaurant,baths,bars/clubs",1
"restaurant,book store,business",1
"restaurant,business,bars/clubs",1
"restaurant,community center/support group",1
"restaurant,cruising areas,erotic shop",1
"restaurant,hotel,gym",1
"restaurant,hotel,travel agency",1
"restaurant,hotel,travel service,bars/clubs",1
"restaurant,theatre,bars/clubs",1
restaurant/coffeehouse,1
"restaurants and cafes,bars/clubs",1
"restaurants and cafes,bookstores/retail shops",1
"restaurants and cafes,erotica",1
restaurants and feminist bookstore,1
"retail shops,cruisy areas",1
retreat / vacation house,1
roller disco,1
room-mate service,1
rural community,1
sail boat charters,1
sailing,1
sauna/gym,1
savings bank,1
sea cruise,1
self-defense,1
sensuality store,1
services center,1
sexual awareness center and boutique,1
shop,1
showbar/restaurant,1
ski resort,1
snack bar,1
social educational group,1
softball,1
softball team,1
something different,1
special events and holidays,1
specialty bookstore,1
specialty watch co,1
stage door,1
state college,1
steam baths,1
student group/counselling,1
student's grou,1
supper club,1
supperclub,1
t shirts,1
tea room,1
theater group,1
"theatre,bars/clubs,cruising areas",1
"theatre,baths",1
"theatre,business",1
"theatre,erotic shop",1
"theatre,erotic shop,book store",1
"theatre,erotic shop,cruising areas",1
"therapists-counseling, etc.",1
timeshare development,1
tourist and visitor information center,1
tours,1
"travel agency or tour operators,accommodations",1
"travel agency,hotel,restaurant,bars/clubs",1
travel agent,1
"travel service,publications",1
typesetting,1
vacation accomodations,1
veterinary hospital,1
"video / cards, etc.",1
visitors services,1
woman's store,1
women's art gallery,1
women's book mail order,1
women's center/feminist bookstore,1
women's club/restaurant,1
women's coffee house,1
women's community,1
women's crisis line,1
women's hair salon,1
women's holiday and travel agency,1
women's karate,1
women's library,1
women's resort,1
women's restaurant/coffeeshop,1
women's ret,1
women's show bar,1
women's spirituality,1
women's store,1
women's studies,1
women's studies convention,1
women's theater space,1
women-only guest house,1
womyn's coffeehouse and gallery,1
womyn's land,1
womyn's spirituality / healing center,1
workshop,1
writer's collective,1
